exhibitor_id,name,booths,hall,description,seeking_funding,funding_amount,investment_stage,revenue,logo_file,featured,tags
0014V00003ThqY5QAJ,"AJ2 Co, Ltd.",50523,X,"AJ2’s unique core technology lies in the self-developed optical components —  specifically, the camera module and infrared LED, which account for more than Your eye is the key on the Security  70% of the performance and cost of the iris recognition system.",Yes,250;000-2;000;000,Series A,<500;000,0014V00003ThqY5QAJ.JPG,,
0014V00001gasxsQAA,AJProTech LLC,60317,M,"AJProTech is an award-winning IoT Product Development studio that builds new Consumer Electronics, Internet of Things, Wearables, Sports Tech, and AR/VR devices. We offer: hardware product development, electrical engineering, mechanical design, rapid prototyping, and manufacturing services. From idea to mass production.",No,,,,0014V00001gasxsQAA.jpg,,
001Pp000002vA4mIAE,Akko,31139,D,"Akko, founded in China in 2016, designs and manufactures “lifestyle gaming peripherals” with a cultural elements-driven, IP-inspired approach to make peripherals more than tools. We offer diverse mechanical keyboards and switches, sold in 60+ countries, backed by our 40,000㎡ Dongguan factory and integrated supply chain.",Yes,2;000;001-15;000;000,Pre-seed,> 1;000;000,001Pp000002vA4mIAE.png,,
001Pp00001NYSvNIAX,"AL.Robot Co., Ltd.",50523,X,"AL.Robot is a technology company developing precision force/torque sensors and robotic solutions. Applied in industrial automation, collaborative robots, medical rehabilitation, and mobility, our products deliver reliable force control and safety. With innovative material removal and surface finishing solutions, we enable next-generation",Yes,2;000;001-15;000;000,Series C and beyond,> 1;000;000,001Pp00001NYSvNIAX.png,,
0014V00003OuqVIQAZ,Algorized,51239,X,"Algorized software platform leverages proprietary machine learning algorithms and advanced sensor fusion techniques, including ultra-wideband (UWB) and wireless sensors, to enable real-time human presence sensing, and vital sign monitoring for automotive, industrial and in-door navigation.",,,,,0014V00003OuqVIQAZ.png,,
001Pp00000ncoRAIAY,All The Time Inc.,50335,X,"[Honoree : The Guide, AI Predictive Safety Ecosystem for Women]  All The Time Inc. is a state-of-the-art safety products specialist built on the principle of keeping everyday life safe with small preparations.   We aim to empower individuals to take charge of their own safety and to give confidence to living life anxiety-free.",No,,,,001Pp00000ncoRAIAY.png,,
001Pp000002cESGIA2,ALMAX,8776,A,"Design & Manufacturing Services: include Membrane Switches, Capacitive Switches & Sensing, Force Sensing, BioSensors, Smart Keypads, Integrated Assemblies, Rubber Keypads, Graphic Overlays, Printed Electronics, Labels, Nameplates, Rigid or Flexible Printed Circuit Boards & Complete Product Assemblies.",,,,,001Pp000002cESGIA2.png,,
0013000001KYV02AAH,"Alps Alpine North America, Inc.",3826,NN,"We conduct business across three segments: Components, Sensors and Communication, and Modules and Systems. Our products and services tend to the needs of customers in many different sectors, including automotive, consumer electronics, mobile devices and game markets. We also look to break ground and expand our horizons in new applications",No,,,,0013000001KYV02AAH.png,1,Collateral; Business Cards
0014V000046PvS5QAK,Altos Radar,6773,NN,High-performance & low-cost 4D imaging radars for high-level driver assistance systems and full autonomous driving.,,,,,0014V000046PvS5QAK.png,,
0013A00001egpuFQAQ,"Ambient Scientific, Inc.",8263,A,"Powered by groundbreaking innovations, Ambient Scientific brings both the software and hardware (Programmable AI processor chip) technologies to unleash the magic of AI in portable, tiny, battery powered electronics devices and Intelligent IoT sensors including AlwaysOn voice, AlwaysOn computer vision and AlwaysOn sensor fusion.",,,,,0013A00001egpuFQAQ.png,,
